ID,County_Soil,marginal_cost,marginal_qty
112,"GRAFTON COUNTY, NH",4.245337144,43091.97
113,"CHEATHAM COUNTY, TN",4.262496925,7658.11
114,"WASHINGTON COUNTY, VT",4.272569867,36238.05
115,"GEORGETOWN COUNTY, SC",4.273153281,23247.84
116,"CHITTENDEN COUNTY, VT",4.278340867,47669.16
117,"DECATUR COUNTY, KS",4.283809637,565044.48
118,"THROCKMORTON COUNTY, TX",4.301759089,166393.92
119,"ROCKINGHAM COUNTY, NH",4.320742354,10980.51
120,"LUCE COUNTY, MI",4.336277331,5386.92
121,"BELKNAP COUNTY, NH",4.337576332,7921.14
122,"NEWPORT COUNTY, RI",4.344017459,2751.06
123,"ANTELOPE COUNTY, NE",4.369059643,828446.08
124,"DADE COUNTY, MO",4.379715999,91333.7
125,"JEFFERSON COUNTY, AL",4.391813631,16168.77
126,"MERRIMACK COUNTY, NH",4.399395488,18996.52
127,"ORANGE COUNTY, VT",4.411791984,60025.19
128,"BAKER COUNTY, GA",4.432996936,137539.25
129,"FRANKLIN COUNTY, VA",4.432996936,4340.03
130,"DUKES COUNTY, MA",4.436119422,948.64
131,"WORCESTER COUNTY, MA",4.440684027,21320.68
132,"RUTLAND COUNTY, VT",4.446257188,31637.15
133,"GRAYSON COUNTY, TX",4.463453169,206557.12
134,"GATES COUNTY, NC",4.464966004,54715.58
135,"TRANSYLVANIA COUNTY, NC",4.488334556,2173.25
136,"PAMLICO COUNTY, NC",4.502964526,53015.42
137,"HILLSBOROUGH COUNTY, NH",4.535368839,10553.62
138,"SULLIVAN COUNTY, NH",4.548490182,9628.7
139,"MACON COUNTY, NC",4.555864098,827.9
140,"GRANT COUNTY, AR",4.559807404,1894.2
141,"MIDDLESEX COUNTY, MA",4.56455301,8253.17
142,"FLUVANNA COUNTY, VA",4.582184236,1778.7
143,"GILMER COUNTY, GA",4.603496948,1277.59
144,"LOUISA COUNTY, VA",4.635465174,47384.56
145,"TYRRELL COUNTY, NC",4.635680692,77749.06
146,"KING AND QUEEN COUNTY, VA",4.656777886,55092.27
147,"ALACHUA COUNTY, FL",4.688746954,55815.76
148,"CAROLINE COUNTY, MD",4.688746954,220558.8
149,"MARION COUNTY, GA",4.69940331,51291.85
150,"STAFFORD COUNTY, VA",4.710059666,30878.24
151,"BUCKINGHAM COUNTY, VA",4.731371536,4672.05
152,"WINDHAM COUNTY, VT",4.733276682,11241.38
153,"BENNINGTON COUNTY, VT",4.75091801,7802.57
154,"ROCK COUNTY, NE",4.752684248,102182.08
155,"BRYAN COUNTY, OK",4.815409253,49206.08
156,"GREENWOOD COUNTY, SC",4.816621542,188.49
157,"HARRISON COUNTY, TX",4.816621542,3917.76
158,"BAMBERG COUNTY, SC",4.827277898,70958.27
159,"FRANKLIN COUNTY, TX",4.829912942,20672.96
160,"LEXINGTON COUNTY, SC",4.837934254,93556.85
161,"HENRY COUNTY, OH",4.869903322,466019.4
162,"COOKE COUNTY, TX",4.875740829,143109.12
163,"ADAIR COUNTY, IA",4.880558836,443638.27
164,"CHESHIRE COUNTY, NH",4.883519683,10838.22
165,"HASKELL COUNTY, TX",4.889960809,706428.8
166,"SULLIVAN COUNTY, MO",4.891216034,77978.2
167,"PERQUIMANS COUNTY, NC",4.903733758,67075.01
168,"BERKELEY COUNTY, SC",4.912527904,31667.33
169,"CHARLOTTE COUNTY, VA",4.912527904,7636.55
170,"CALHOUN COUNTY, FL",4.92318426,32086.21
171,"WASHINGTON COUNTY, FL",4.933840616,18702.99
172,"ALLENDALE COUNTY, SC",4.933840616,71125.83
173,"HANSON COUNTY, SD",4.933840616,259518.95
174,"MONTAGUE COUNTY, TX",4.935795431,63078.4
175,"PASQUOTANK COUNTY, NC",4.950798348,52128.38
176,"WINDHAM COUNTY, CT",4.964930774,7854
177,"LAMAR COUNTY, TX",4.969114854,124136.32
178,"APPOMATTOX COUNTY, VA",4.976465198,5075.23
179,"COLLETON COUNTY, SC",4.987121554,68507.82
180,"FRANKLIN COUNTY, MA",4.991718149,19447.12
181,"DARLINGTON COUNTY, SC",4.99777791,248647.17
182,"WALTON COUNTY, FL",5.008434265,66224.93
183,"AIKEN COUNTY, SC",5.008434265,125245.12
184,"MCCURTAIN COUNTY, OK",5.017377422,50783.04
185,"EDGEFIELD COUNTY, SC",5.019090621,28002.12
186,"ORANGEBURG COUNTY, SC",5.029746136,242992.29
187,"WILLIAMSBURG COUNTY, SC",5.040402491,154608.61
188,"AMELIA COUNTY, VA",5.040402491,8869.78
189,"HALIFAX COUNTY, VA",5.081036899,14751.36
190,"OKALOOSA COUNTY, FL",5.083027915,43312.19
191,"SURRY COUNTY, NC",5.083027915,6105.79
192,"MARLBORO COUNTY, SC",5.083027915,155006.54
193,"NEMAHA COUNTY, NE",5.114996983,402839.36
194,"LANCASTER COUNTY, VA",5.114996983,16150.6
195,"MIDDLESEX COUNTY, CT",5.122785939,2333.1
196,"PERRY COUNTY, AL",5.125652497,52883.6
197,"CARVER COUNTY, MN",5.125652497,220579.13
198,"HAMPDEN COUNTY, MA",5.125762782,8940.93
199,"EARLY COUNTY, GA",5.168277921,214508.45
200,"MAVERICK COUNTY, TX",5.179010045,24.64
201,"BERKSHIRE COUNTY, MA",5.208430781,16862.07
202,"CHEBOYGAN COUNTY, MI",5.221558859,44274.39
203,"HOUSTON COUNTY, TX",5.232215215,94962.56
204,"JASPER COUNTY, SC",5.264184283,24986.19
205,"DORCHESTER COUNTY, SC",5.274839797,52820.77
206,"LEVY COUNTY, FL",5.296152509,103379.58
207,"NEW LONDON COUNTY, CT",5.303969247,12081.3
208,"HENDERSON COUNTY, NC",5.328121577,8323.39
209,"CUSTER COUNTY, OK",5.328121577,594932.8
210,"PERRY COUNTY, MO",5.338777091,127192.3
211,"JENKINS COUNTY, GA",5.349433447,86645.33
212,"WASHINGTON COUNTY, GA",5.349433447,62580.67
213,"ALBEMARLE COUNTY, VA",5.349433447,7019.94
214,"LUNENBURG COUNTY, VA",5.349433447,6071.29
215,"ST FRANCIS COUNTY, AR",5.360089803,642665.1
216,"BARNWELL COUNTY, SC",5.381402515,71209.6
217,"HORRY COUNTY, SC",5.381402515,257632.15
218,"COLUMBIA COUNTY, FL",5.392058871,41615.72
219,"FLOYD COUNTY, IN",5.392058871,9289.9
220,"CARROLL COUNTY, NH",5.397570576,10933.08
221,"BLECKLEY COUNTY, GA",5.402715227,64696.01
222,"DARE COUNTY, NC",5.419600559,2853.31
223,"HAMILTON COUNTY, TN",5.432090502,6150.15
224,"BLADEN COUNTY, NC",5.434683453,155971.2
225,"KERSHAW COUNTY, SC",5.434683453,56674.46
226,"WAYNE COUNTY, MS",5.445339809,19545.68
227,"NEW HAVEN COUNTY, CT",5.446955352,4389
228,"KENT COUNTY, RI",5.454628972,1517.83
229,"MADISON COUNTY, FL",5.455996165,93661.56
230,"NEWBERRY COUNTY, SC",5.455996165,397.94
231,"STEELE COUNTY, ND",5.458927547,397375.13
232,"CHEROKEE COUNTY, NC",5.460395763,1241.86
233,"CLAY COUNTY, TX",5.460402498,197218.56
234,"MUHLENBERG COUNTY, KY",5.466652521,60348.29
